,id,age,household_makeup,children_ages_2_or_younger,children_ages_3_5,children_ages_6_9,children_ages_10_14,children_ages_15_17,annual_household_income,location_density,population_perc,group_population_est
199,100199,20-24,With children,n,y,n,y,y,"$70,000 - $99,000",suburb,5.8255797333680914e-08,19.334734745036375
200,100200,20-24,With children,n,y,n,y,y,"$70,000 - $99,000",rural,3.445522852084043e-08,11.435474828612541
201,100201,20-24,With children,n,y,n,y,y,"$100,000 - $199,000",urban,1.6521063118520632e-07,54.83237509787191
202,100202,20-24,With children,n,y,n,y,y,"$100,000 - $199,000",suburb,7.136330297936762e-08,23.685033881391977
203,100203,20-24,With children,n,y,n,y,y,"$100,000 - $199,000",rural,3.381367073315334e-08,11.222545811823158
204,100204,20-24,With children,n,y,n,y,y,"$200,000+",urban,7.855895112030078e-08,26.073224490588572
205,100205,20-24,With children,n,y,n,y,y,"$200,000+",suburb,2.3876275632057805e-08,7.9243865361759065
206,100206,20-24,With children,n,y,n,y,y,"$200,000+",rural,6.616095938338198e-09,2.1958408582543534
207,100207,20-24,With children,n,y,n,y,n,"$70,000 - $99,000",urban,3.4506335905938782e-06,1145.2437050049991
208,100208,20-24,With children,n,y,n,y,n,"$70,000 - $99,000",suburb,1.4893806698951306e-06,494.31612826210363
209,100209,20-24,With children,n,y,n,y,n,"$70,000 - $99,000",rural,8.808900347174539e-07,292.3618925555558
210,100210,20-24,With children,n,y,n,y,n,"$100,000 - $199,000",urban,4.223811737379793e-06,1401.856695693936
211,100211,20-24,With children,n,y,n,y,n,"$100,000 - $199,000",suburb,1.8244900741559196e-06,605.5368434269359
212,100212,20-24,With children,n,y,n,y,n,"$100,000 - $199,000",rural,8.644878256441021e-07,286.9181019599281
213,100213,20-24,With children,n,y,n,y,n,"$200,000+",urban,2.008455614737004e-06,666.5938556413414
214,100214,20-24,With children,n,y,n,y,n,"$200,000+",suburb,6.104261725539087e-07,202.59662845493298
215,100215,20-24,With children,n,y,n,y,n,"$200,000+",rural,1.691485800853595e-07,56.13935570596238
216,100216,20-24,With children,n,y,n,n,y,"$70,000 - $99,000",urban,2.0528012796170437e-06,681.3119044328928
217,100217,20-24,With children,n,y,n,n,y,"$70,000 - $99,000",suburb,8.860409153066332e-07,294.07143760434633
218,100218,20-24,With children,n,y,n,n,y,"$70,000 - $99,000",rural,5.24046423068255e-07,173.92772990597754
219,100219,20-24,With children,n,y,n,n,y,"$100,000 - $199,000",urban,2.5127692963373863e-06,833.9724120824299
220,100220,20-24,With children,n,y,n,n,y,"$100,000 - $199,000",suburb,1.0853993797212388e-06,360.237264956359
221,100221,20-24,With children,n,y,n,n,y,"$100,000 - $199,000",rural,5.142886568811682e-07,170.68918834331095
222,100222,20-24,With children,n,y,n,n,y,"$200,000+",urban,1.1948415117806138e-06,396.56042402632954
223,100223,20-24,With children,n,y,n,n,y,"$200,000+",suburb,3.631459542810321e-07,120.52587074793053
224,100224,20-24,With children,n,y,n,n,y,"$200,000+",rural,1.0062743914368246e-07,33.397617627156365
225,100225,20-24,With children,n,y,n,n,n,"$70,000 - $99,000",urban,5.248237402854942e-05,17418.571662826005
226,100226,20-24,With children,n,y,n,n,n,"$70,000 - $99,000",suburb,2.2652719083649443e-05,7518.295771105382
227,100227,20-24,With children,n,y,n,n,n,"$70,000 - $99,000",rural,1.3397887392647385e-05,4446.675021834026
228,100228,20-24,With children,n,y,n,n,n,"$100,000 - $199,000",urban,6.424201863437826e-05,21321.524150923586
229,100229,20-24,With children,n,y,n,n,n,"$100,000 - $199,000",suburb,2.774956191936536e-05,9209.906027527557
230,100230,20-24,With children,n,y,n,n,n,"$100,000 - $199,000",rural,1.314841817231966e-05,4363.877748037227
231,100231,20-24,With children,n,y,n,n,n,"$200,000+",urban,3.0547583805971716e-05,10138.551990065307
232,100232,20-24,With children,n,y,n,n,n,"$200,000+",suburb,9.284270225653358e-06,3081.391214784088
233,100233,20-24,With children,n,y,n,n,n,"$200,000+",rural,2.5726634872612e-06,853.8509194118795
234,100234,20-24,With children,n,n,y,y,y,"$70,000 - $99,000",urban,1.5424966531555138e-07,51.19449908657495
235,100235,20-24,With children,n,n,y,y,y,"$70,000 - $99,000",suburb,6.657805409563533e-08,22.096839708612997
236,100236,20-24,With children,n,n,y,y,y,"$70,000 - $99,000",rural,3.937740402381764e-08,13.069114089842905
237,100237,20-24,With children,n,n,y,y,y,"$100,000 - $199,000",urban,1.8881214992595005e-07,62.665571540425034
238,100238,20-24,With children,n,n,y,y,y,"$100,000 - $199,000",suburb,8.155806054784871e-08,27.06861015016226
239,100239,20-24,With children,n,n,y,y,y,"$100,000 - $199,000",rural,3.8644195123603817e-08,12.82576664208361
240,100240,20-24,With children,n,n,y,y,y,"$200,000+",urban,8.97816584232009e-08,29.79797084638694
241,100241,20-24,With children,n,n,y,y,y,"$200,000+",suburb,2.7287172150923206e-08,9.056441755629608
242,100242,20-24,With children,n,n,y,y,y,"$200,000+",rural,7.56125250095794e-09,2.5095324094335467
243,100243,20-24,With children,n,n,y,y,n,"$70,000 - $99,000",urban,3.9435812463930036e-06,1308.8499485771417
244,100244,20-24,With children,n,n,y,y,n,"$70,000 - $99,000",suburb,1.7021493370230064e-06,564.9327180138328
